FF, "NOP", 8,0
40,"MOV A, A",4,0
41,"MOV A, B",4,0
42,"MOV A, L",4,0
43,"MOV A, H",4,0
"44 nn","MOV A, [N+#nn]",12,0
45,"MOV A, [HL]",8,0
46,"MOV A, [X]",8,0
47,"MOV A, [Y]",8,0
48,"MOV B, A",4,0
49,"MOV B, B",4,0
4A,"MOV B, L",4,0
4B,"MOV B, H",4,0
"4C nn","MOV B, [N+#nn]",12,0
4D,"MOV B, [HL]",8,0
4E,"MOV B, [X]",8,0
4F,"MOV B, [Y]",8,0
50,"MOV L, A",4,0
51,"MOV L, B",4,0
52,"MOV L, L",4,0
53,"MOV L, H",4,0
"54 nn","MOV L, [N+#nn]",12,0
55,"MOV L, [HL]",8,0
56,"MOV L, [X]",8,0
57,"MOV L, [Y]",8,0
58,"MOV H, A",4,0
59,"MOV H, B",4,0
5A,"MOV H, L",4,0
5B,"MOV H, H",4,0
"5C nn","MOV H, [N+#nn]",12,0
5D,"MOV H, [HL]",8,0
5E,"MOV H, [X]",8,0
5F,"MOV H, [Y]",8,0
60,"MOV [X], A",8,0
61,"MOV [X], B",8,0
62,"MOV [X], L",8,0
63,"MOV [X], H",8,0
"64 nn","MOV [X], [N+#nn]",16,0
65,"MOV [X], [HL]",12,0
66,"MOV [X], [X]",12,0
67,"MOV [X], [Y]",12,0
68,"MOV [HL], A",8,0
69,"MOV [HL], B",8,0
6A,"MOV [HL], L",8,0
6B,"MOV [HL], H",8,0
"6C nn","MOV [HL], [N+#nn]",16,0
6D,"MOV [HL], [HL]",12,0
6E,"MOV [HL], [X]",12,0
6F,"MOV [HL], [Y]",12,0
70,"MOV [Y], A",8,0
71,"MOV [Y], B",8,0
72,"MOV [Y], L",8,0
73,"MOV [Y], H",8,0
"74 nn","MOV [Y], [N+#nn]",16,0
75,"MOV [Y], [HL]",12,0
76,"MOV [Y], [X]",12,0
77,"MOV [Y], [Y]",12,0
"78 nn","MOV [N+#nn], A",12,0
"79 nn","MOV [N+#nn], B",12,0
"7A nn","MOV [N+#nn], L",12,0
"7B nn","MOV [N+#nn], H",12,0
"7D nn","MOV [N+#nn], [HL]",16,0
"7E nn","MOV [N+#nn], [X]",16,0
"7F nn","MOV [N+#nn], [Y]",16,0
"9F nn","MOV F, #nn",12,0
"B0 nn","MOV A, #nn",8,0
"B1 nn","MOV B, #nn",8,0
"B2 nn","MOV L, #nn",8,0
"B3 nn","MOV H, #nn",8,0
"B4 nn","MOV N, #nn",8,0
"B5 nn","MOV [HL], #nn",12,0
"B6 nn","MOV [X], #nn",12,0
"B7 nn","MOV [Y], #nn",12,0
"DD nn nn","MOV [N+#nn], #nn",16,0
"CE C4 nn","MOV U, #nn",16,0
"CE C5 nn","MOV I, #nn",12,0
"CE C6 nn","MOV XI, #nn",12,0
"CE C7 nn","MOV YI, #nn",12,0
"CE 40 ss","MOV A, [X+#ss]",16,0
"CE 41 ss","MOV A, [Y+#ss]",16,0
"CE 42","MOV A, [X+L]",16,0
"CE 43","MOV A, [Y+L]",16,0
"CE 48 ss","MOV B, [X+#ss]",16,0
"CE 49 ss","MOV B, [Y+#ss]",16,0
"CE 4A","MOV B, [X+L]",16,0
"CE 4B","MOV B, [Y+L]",16,0
"CE 50 ss","MOV L, [X+#ss]",16,0
"CE 51 ss","MOV L, [Y+#ss]",16,0
"CE 52","MOV L, [X+L]",16,0
"CE 53","MOV L, [Y+L]",16,0
"CE 58 ss","MOV H, [X+#ss]",16,0
"CE 59 ss","MOV H, [Y+#ss]",16,0
"CE 5A","MOV H, [X+L]",16,0
"CE 5B","MOV H, [Y+L]",16,0
"CE 44 ss","MOV [X+#ss], A",16,0
"CE 45 ss","MOV [Y+#ss], A",16,0
"CE 46","MOV [X+L], A",16,0
"CE 47","MOV [Y+L], A",16,0
"CE 4C ss","MOV [X+#ss], B",16,0
"CE 4D ss","MOV [Y+#ss], B",16,0
